Name,Image_URL,Image_URL_2,Description
Bird of paradise,,,Strelitzia reginae : Bird of paradiseFamilly : StrelitziaceaeOrigin : South AfricaHeight in its natural environment : 2 mHardiness : -2°CFlower colour : orange and blueDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Jacaranda tree,,,Jacaranda mimosifolia : Jacaranda treeFamily : BignoniaceaeOrigin : BrasilHeight in its natural environment : 50 mHardiness : -5°CFlower colour : blue to purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Common cabbage tree,,,Cussonia spicata : Common cabbage treeFamily: AraliaceaeOrigin : South AfricaHeight in its natural environment : 15 mHardiness : -6°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Deadly nightshade,,,Atropa belladonna : Deadly nightshadeFamily: SolanaceaeOrigin : Europe and North AfricaHeight in its natural environment : 2 mHardiness : -22°CColour of the flower : dark redDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Mid grower
Emblic tree,,,Phyllanthus emblica : Emblic treeFamily : EuphorbiaceaeOrigin : AsiaHeight in its natural environment : 10 mHardiness : -1°CFlower colour : yellowDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Bridal veil broom,,,Retama monosperma : Bridal veil broomFamily: FabaceaeOrigin : MoroccoHeight in its natural environment : 4 mHardiness : -6°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Shiny-leaf buckthorn,,,Rhamnus prinoides : Shiny-leaf buckthornFamily: RhamnaceaeOrigin : Afrique du SudHeight in its natural environment : 9 mHardiness : -7°CColour of the flower : verteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Rush-leaved strelitzia,,,Strelitzia juncea : Rush-leaved strelitziaFamiy : StrelitziaceaeOrigin : South AfricaHeight in its natural environment : 2 mHardiness : -5°CColour flower: orange and blueDifficulty level : Beginner  Height: about 10 to 20 cm  Slow grower
Colombian Pinwheel Tree,,,"Lafoensia acuminata : Colombian Pinwheel TreeFamily : LythraceaeOrigin : Colombia, Brasil BoliviaHeight in its natural environment : 15 mHardiness : -2°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Sago palm,,,"Cycas revoluta : Sago palmFamily: CycadeaeOrigin : Japan, JavaHeight in its natural environment : 5mHardiness : -7°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Onionweed,,,Asphodelus fistulosus : Onion weedFamily: AsphodélaceaeOrigin : IndiaHeight in its natural environment : 60Hardiness : -12°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Monkey puzzle tree,,,Araucaria araucana : Monkey puzzle treeFamily : AraucariaceesOrigin : ChiliHeight in its natural environment : 40 mHardiness : -12°CFlower colour : green conesDifficulty level : Expert  Height : about 10 / 20 cm  Slow grower
Dancing Lady Ginger,,,"Globba winitii : Dancing Lady GingerFamily: ZingiberaceaeOrigin : Thailand, MyanmarHeight in its natural environment : 1 mHardiness : -4°CColour of the flower : pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Tiger foot morning glory,,,"Ipomoea pes-tigridis : Tiger foot morning gloryFamily: ConcolvulaceaeOrigin : Asia & Tropical AfricaHeight in its natural environment : 2,5 mHardiness : -7°CColour of the flower : pink to purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Lime Berry,,,"Triphasia trifoliata  : Lime BerryFamily: RutaceaeOrigin : China, South east AsiaHeight in its natural environment : 4 mHardiness : -1 °CColour of the flower : WhiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Mid grower"
Tamarillo - Tree tomato,,,"Solanum betaceum : Tamarillo - Tree tomatoFamily: SolanaceaeOrigin : Peru, Bolivia, Equator, ColombiaHeight in its natural environment : 5mHardiness : -3°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Jujube tree,,,Ziziphus jujuba : Jujube treeFamily : RhamnaceaeOrigin : ChinaHeight in its natural environment : 12 mHardiness : -15°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Tower of jewels plant,,,Echium wildpretii : Tower of jewels plantFamille : BorajinaceaeOrigine : Canary IslandsHeight in its natural environment : 3 mHardiness : -7°CFlower colour : redDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Fast grower
Chasmanthe bicolor,,,"Chasmanthe bicolor : Chasmanthe bicolorFamily: IridaceaeOrigin : South AfricaHeight in its natural environment : 1,5 mHardiness : -7°CColour of the flower : Orange et yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Python vine,,,"Fockea multiflora : Python vineFamily: AsclepaadaceaeOrigin : Angola, TanzaniaHeight in its natural environment : 15 mHardiness : -3°CColour of the flower : greenDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Slow grower"
Ti plant,,,"Cordyline terminalis : Ti plantFamily: AgavaceaeOrigin : Australia, India and MalaysiaHeight in its natural environment : 5 mHardiness : -1°CColour of the flower : white and pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Indian jujube,,,Ziziphus mauritiana : Indian jujubeFamily : RhamnaceaeOrigin : MauritiusHeight in its natural environment : 12 mHardiness : -15°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Giant white bird of paradise,,,"Strelitzia nicolai : Giant white bird of paradiseFamily : StrelitziaceaeOrigin : South AfricaHeight in its natural environment : 10 mHardiness : -2°CFlower colour : white, black and purpleDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Aloe arborescens - Krantz aloe,,,"Aloe arborescens : Krantz aloeFamily: AsphodelaceaeOrigin : Southern AfricaHeight in its natural environment : up to 4 mHardiness : -1°CColour of the flower : red, orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Purple Cabbage Tree,,,Cordyline australis 'purpurea' : Purple Cabbage TreeFamily: AgavaceaeOrigin : New ZealandHeight in its natural environment : 9 mHardiness : -8°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Bellyache bush,,,Monodora myristica : Bellyache bushFamily: EuphorbiaceaeOrigin : MexicoHeight in its natural environment : 4 mHardiness : -8°CColour of the flower : RougeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
"Aloe arborescens variegata, unique specimen 2",,,"Aloe arborescens : Krantz aloe variegataFamily: AsphodelaceaeOrigin : Southern AfricaHeight in its natural environment : up to 4 mHardiness : -1°CColour of the flower : red, orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
"Aloe arborescens variegata, unique specimen 1",,,"Aloe arborescens : Krantz aloe variegataFamily: AsphodelaceaeOrigin : Southern AfricaHeight in its natural environment : up to 4 mHardiness : -1°CColour of the flower : red, orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Surinam cherry tree,,,Eugenia uniflora : Surinam cherry treeFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 15 mHardiness : -4°CColour of the flower : whiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Chañar,,,"Geoffroea decorticans : ChañarFamily:FabaceaeOrigin : Chili, ArgentinaHeight in its natural environment : 7 mHardiness : -10°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Moringa tree,,,Moringa oleifera : Moringa treeFamily: MoringaceaeOrigin : IndiaHeight in its natural environment : 12 mHardiness : -1°CColour of the flower : whiteDifficulty level : Beginner  Height : about 15 to 30 cm (depending on seasons)  Fast grower
Honey locust,,,Gleditsia triacanthos : Honey locustFamily:FabaceaeOrigin : United States of AmericaHeight in its natural environment : 20 mHardiness : -30°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Oval kumquat,,,"Fortunella margarita : Oval kumquatFamily: RutaceaeOrigin : China, KoreaHeight in its natural environment : 3 mHardiness : - 10°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Yellowhorn tree,,,Xanthoceras sorbifolium : Yellowhorn treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 5 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Mountain Cabbage Tree,,,Cussonia paniculata subsp. sinuata : Mountain Cabbage TreeFamily: AraliaceaOrigin : South AfricaHeight in its natural environment : 6 mHardiness : -6°CColour of the flower : GreenDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Chinese honey locust,,,"Gleditsia sinensis : Chinese honey locustFamily:FabaceaeOrigin : China, India, KoreaHeight in its natural environment : 12mHardiness : -26°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Rose apple,,,Syzygium jambos  : Rose appleFamily: MyrtaceaeOrigin : MalaysiaHeight in its natural environment : 10 mHardiness : -2°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Pineapple guava,,,Feijoa sellowiana : Pineapple guavaFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 5 mHardiness : -15°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Jamun tree,,,Syzygium cumini : Jamun TreeFamily: MyrtaceaeOrigin : IndiaHeight in its natural environment : 20 mHardiness : -2°CColour of the flower : BlancheDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Golden rain tree,,,Koelreuteria paniculata : Golden rain treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 10 mHardiness : -20 °CColour of the flower : YellowDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Middle grower
Silver-leaved mountain gum,,,Silver-leaved mountain gum : Gommier des montagnes à feuilles d'argentFamily : MyrtaceaeOrigin : AustraliaHeight in its natural environment : 10 mRusticity : -10°CFlower colour : whiteDifficulty level : Expert  Hauteur : environ 10 à 20 cm (selon les saisons)  Croissance moyenne
American beautyberry,,,Callicarpa americana : American beautyberryFamily : VerbénaceaeOrigin : South east of the USAHeight in its natural environment : 2 mHardiness: -12°CFlower color : pinkDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Wild Wisteria Climber,,,Hardenbergia comptoniana : Wild Wisteria ClimberFamily : FabaceaeOrigin : AustraliaHeight in its natural environment : 3 mRusticity : -5°CFlower colour : purple and yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Banana passionfruit,,,Passiflora mollissima : Banana passionfruitFamily : PassifloraceaeOrigin : South AmericaHeight in its natural environment : 5 mHardiness : -3°CColour of the flower : pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Red flowering gum tree,,,Corymbia ficifolia : Red flowering gum treeFamily: MyrtaceaeOrigin : AustraliaHeight in its natural environment : 15 mHardiness : -3°CFlower colour : redDifficulty level : Expert  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Giant honey flower,,,"Melianthus major : Giant honey flowerFamily : MelianthaceaeOrigin : South AfricaHeight in its natural environment : 2,50 mRusticity : -6°CFlower colour: red/orange/brownDifficulty level : Beginner  Size : 10 cm to 30 cm  Fast grower"
Cockspur coral tree,,,Erythrina crista-galli : Cockspur coral treeFamily : FabaceaeOrigin : South AmericaHeight in its natural environment : 9 mRusticity : -12°CFlower colour : red orangeDifficulty level : Beginner  Height - about 10 to 20 cm (depending on seasons)  Fast Grower
Paw Paw,,,Asimina triloba: Paw PawFamily: AnnonaceaeOrigin : United States of AmericaHeight in its natural environment : 12 mHardiness : -20°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
White Cape Leadwort,,,Plumbago auriculata 'alba' : White Cape LeadwortFamily: PlumbaginaceaeOrigin : South AfricaHeight in its natural environment : 6 mHardiness : -8°C (les tiges gèlent à -5°C)Colour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Hardy tapioca,,,"Manihot grahamii :Hardy tapiocaFamily : EuphorbiaceaeOrigin : BrasilHeight in its natural environment : 2,5 mHardiness : -10°CFlower colour : yellow - greenDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower"
Cruel plant,,,"Araujia sericifera : Cruel plantFamily: ApocynaceaeOrigin : Argentina, Brasil, PeruHeight in its natural environment : 12 mHardiness : -12°C (aerial parts die at -5°C)Colour of the flower : White to pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Cape Leadwort,,,Plumbago auriculata : Dentelaire du CapFamille : PlumbaginacéesOrigine : Afrique du sudHauteur dans son milieu naturel : 6 mRusticité : -8°C (les tiges gèlent à -5°C)Couleur de la floraison : bleue Difficulty level : Beginner  Hauteur : environ 10 à 20 cm (selon les saisons)  Croissance rapide
Pomegranate tree,,,Punica granatum : Pomegranate treeFamily : LythraceaeOrigin : Western AsiaHeight in its natural environment : 5 mHardiness : -15°CFlower colour : bright red  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Chinaberry tree,,,Melia azedarach : Chinaberry treeFamily : MeliaceaeOrigin : IndiaHeight in its natural environment : 13 mHardiness : -7°CFlower colour : white and purpleDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Kalahari Christmas Tree,,,Dichrostachys cinerea : Kalahari Christmas TreeFamily : FabaceaeOrigin : Southern AfricaHeight in its natural environment : 8mHardiness : -9°CColour of the flower : Pink and yellowDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Bird of paradise tree,,,Caesalpinia gilliesii : Bird of paradise treeFamily : CaesalpinioideaeOrigin : ArgentinaHeight in its natural environment : 3 mHardiness : -12°C (looses its leaves under 0°C)Flower colour : yellow with red stamensDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Bee-bee tree,,,"Tetradium daniellii : Bee-bee treeFamily: RutaceaeOrigin : China, KoreaHeight in its natural environment : 20 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Pink coral vine,,,Antigonon leptopus : Pink coral vineOrigin : MexicoHeight in its natural environment : 12 mHardiness : -7°CFlower colour : pinkDifficulty level : Beginner  Hauteur : environ 5 à 20 cm (selon les saisons)  Very fast grower
Leopard lily,,,"Belamcanda chinensis : Leopard lilyFamily : IridaceaeOrigin ChinaHeight in its natural environment : 0,90 mHardiness : -15°CFlower colour : orange spotted with purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons) Fast grower"
Dwarf pomegranate tree,,,Punica granatum 'nana' : Dwarf pomegranate treeFamily: LythraceaeOrigin : AsiaHeight in its natural environment : 1mHardiness : -12 °CColour of the flower : Red/OrangeDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons) Fast grower
White coral vine,,,Antigonon leptopus'alba' : Liane corail blancheFamille : PolygonacéesOrigine : MexiqueHauteur dans son milieu naturel : 12 mRusticité : -7°CCouleur de la floraison : blancheDifficulty level : Beginner  Hauteur : environ 5 à 20 cm (selon les saisons)  Croissance rapide
Deadly nightshade,,,Atropa belladonna : Deadly nightshadeFamily: SolanaceaeOrigin : Europe and North AfricaHeight in its natural environment : 2 mHardiness : -22°CColour of the flower : dark redDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Mid grower
Shiny-leaf buckthorn,,,Rhamnus prinoides : Shiny-leaf buckthornFamily: RhamnaceaeOrigin : Afrique du SudHeight in its natural environment : 9 mHardiness : -7°CColour of the flower : verteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Sago palm,,,"Cycas revoluta : Sago palmFamily: CycadeaeOrigin : Japan, JavaHeight in its natural environment : 5mHardiness : -7°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Onionweed,,,Asphodelus fistulosus : Onion weedFamily: AsphodélaceaeOrigin : IndiaHeight in its natural environment : 60Hardiness : -12°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Monkey puzzle tree,,,Araucaria araucana : Monkey puzzle treeFamily : AraucariaceesOrigin : ChiliHeight in its natural environment : 40 mHardiness : -12°CFlower colour : green conesDifficulty level : Expert  Height : about 10 / 20 cm  Slow grower
Tiger foot morning glory,,,"Ipomoea pes-tigridis : Tiger foot morning gloryFamily: ConcolvulaceaeOrigin : Asia & Tropical AfricaHeight in its natural environment : 2,5 mHardiness : -7°CColour of the flower : pink to purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Jujube tree,,,Ziziphus jujuba : Jujube treeFamily : RhamnaceaeOrigin : ChinaHeight in its natural environment : 12 mHardiness : -15°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Chasmanthe bicolor,,,"Chasmanthe bicolor : Chasmanthe bicolorFamily: IridaceaeOrigin : South AfricaHeight in its natural environment : 1,5 mHardiness : -7°CColour of the flower : Orange et yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Indian jujube,,,Ziziphus mauritiana : Indian jujubeFamily : RhamnaceaeOrigin : MauritiusHeight in its natural environment : 12 mHardiness : -15°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Purple Cabbage Tree,,,Cordyline australis 'purpurea' : Purple Cabbage TreeFamily: AgavaceaeOrigin : New ZealandHeight in its natural environment : 9 mHardiness : -8°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Chañar,,,"Geoffroea decorticans : ChañarFamily:FabaceaeOrigin : Chili, ArgentinaHeight in its natural environment : 7 mHardiness : -10°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Honey locust,,,Gleditsia triacanthos : Honey locustFamily:FabaceaeOrigin : United States of AmericaHeight in its natural environment : 20 mHardiness : -30°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Oval kumquat,,,"Fortunella margarita : Oval kumquatFamily: RutaceaeOrigin : China, KoreaHeight in its natural environment : 3 mHardiness : - 10°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Yellowhorn tree,,,Xanthoceras sorbifolium : Yellowhorn treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 5 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Chinese honey locust,,,"Gleditsia sinensis : Chinese honey locustFamily:FabaceaeOrigin : China, India, KoreaHeight in its natural environment : 12mHardiness : -26°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Pineapple guava,,,Feijoa sellowiana : Pineapple guavaFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 5 mHardiness : -15°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Golden rain tree,,,Koelreuteria paniculata : Golden rain treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 10 mHardiness : -20 °CColour of the flower : YellowDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Middle grower
Silver-leaved mountain gum,,,Silver-leaved mountain gum : Gommier des montagnes à feuilles d'argentFamily : MyrtaceaeOrigin : AustraliaHeight in its natural environment : 10 mRusticity : -10°CFlower colour : whiteDifficulty level : Expert  Hauteur : environ 10 à 20 cm (selon les saisons)  Croissance moyenne
American beautyberry,,,Callicarpa americana : American beautyberryFamily : VerbénaceaeOrigin : South east of the USAHeight in its natural environment : 2 mHardiness: -12°CFlower color : pinkDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Lobster claws plant 'cauca',,,"Heliconia Heliconia subulata 'cauca' :Lobster claws plant 'cauca'Famille : HeliconiaceaeOrigin : Mexiqco, South AmericaHeight in its natural environment : 1,50 mHardiness : -5°CFlower colour : yellowDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Fast grower"
Paw Paw,,,Asimina triloba: Paw PawFamily: AnnonaceaeOrigin : United States of AmericaHeight in its natural environment : 12 mHardiness : -20°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
White Cape Leadwort,,,Plumbago auriculata 'alba' : White Cape LeadwortFamily: PlumbaginaceaeOrigin : South AfricaHeight in its natural environment : 6 mHardiness : -8°C (les tiges gèlent à -5°C)Colour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Ice-cream bean,,,Inga edulis : Ice-cream beanFamily: FabaceaeOrigin : South AmericaHeight in its natural environment :  15 mHardiness : -4°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Calabash tree,,,Crescentia cujete : Calabash treeFamily : BignoniaceaeOrigin : MexicoHeight in its natural environment : 12 mHardiness : 2°CColour of the flower : Yellow/GreenDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Hardy tapioca,,,"Manihot grahamii :Hardy tapiocaFamily : EuphorbiaceaeOrigin : BrasilHeight in its natural environment : 2,5 mHardiness : -10°CFlower colour : yellow - greenDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower"
Cruel plant,,,"Araujia sericifera : Cruel plantFamily: ApocynaceaeOrigin : Argentina, Brasil, PeruHeight in its natural environment : 12 mHardiness : -12°C (aerial parts die at -5°C)Colour of the flower : White to pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
African Iris plant,,,Dietes bicolor : African Iris plantFamily:IridaceaeOrigin : South AfricaHeight in its natural environment : 1 mHardiness : -7°CColour of the flower :pure white to creamDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Kei apple tree,,,Dovyalis caffra : Kei apple treeFamily : SalicaceaeOrigin : South AfricaHeight in its natural environment : 6 mHardiness : -6°CFlower colour : green/yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
White desert rose,,,White adenium obesum : White desert roseFamily : ApocynaceaeOrigin : Eastern and southern AfricaHeight in its natural environment : 2 mHardiness : 10°CFlower colour : white (dominant colour)Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Yellow passion fruit,,,"Passiflora edulis f. flavicarpa : Yellow passion fruitFamily : PassifloraceaeOrigin: Paraguay, BrasilHeight in its natural environment : 10 mhardiness : 0°CFlower colour : white and purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons) Fast grower"
Queensland bottle tree,,,Brachychiton rupestris : Queensland bottle treeFamily : SterculiaceaeOrigin : AustraliaHeight in its natural environment : 20 mHardiness : -8°CFlower colour : yellow with pinkDifficulty level : Beginner  Height about 10 to 30 cm (depending on seasons)  Fast grower
Globe amaranth,,,"Gomphrena globosa : Globe amaranthFamily: AmarantaceaeOrigin : South AmericaHeight in its natural environment : 0,60 mHardiness : -7°CColour of the flower : PurpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Cape Leadwort,,,Plumbago auriculata : Dentelaire du CapFamille : PlumbaginacéesOrigine : Afrique du sudHauteur dans son milieu naturel : 6 mRusticité : -8°C (les tiges gèlent à -5°C)Couleur de la floraison : bleue Difficulty level : Beginner  Hauteur : environ 10 à 20 cm (selon les saisons)  Croissance rapide
Tamarind tree,,,"Tamarindus indica : Tamarind treeFamily : FabaceaeOrigin : MadagascarHeight in its natural environment : 25 mHardiness : -1°CFlower colour: yellow, orange with red stripesDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons) Medium grower"
Canary Islands dragon tree,,,Dracaena draco : Canary Islands dragon treeFamily: DracaenaceaeOrigin : Canary IslandHeight in its natural environment : 20 mHardiness : -1°CFlower colour :whiteDifficulty level : Beginner Height : about 10 to 20 cm (depending on seasons)  Medium grower
Tiare flower tree,,,Gardenia taitensis : Tiare flower treeFamily : RubiaceaeOrigin : PolynesiaHeight in its natural environment : 3 mHardiness : 6°CFlower colour : whiteDifficulty level : Expert  : Height : about 10 to 20 cm (depending of the season)  Slow grower
Roselle,,,"Hibiscus sabdariffa : RoselleFamily : MalvaceaeOrigin : GuineaHeight in its natural environment : 1,80 mHardiness : 2°CFlower colour : pink and purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Governor's plum,,,Flacourtia indica : Governor's plumFamily: SalicaceaeOrigin : MadagascarHeight in its natural environment : 4 mHardiness : -1°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Pomegranate tree,,,Punica granatum : Pomegranate treeFamily : LythraceaeOrigin : Western AsiaHeight in its natural environment : 5 mHardiness : -15°CFlower colour : bright red  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Flamboyant tree,,,Delonix regia rouge : Flamboyant treeFamille : CaesalpinioideaeOrigin: MadagascarHeight in its natural environmen : 10 mHardiness : 1°CFlower colour : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Kaffir lime tree,,,Citrus hystrix : Kaffir lime treeFamily : RutaceaeOrigin : MalaysiaHeight in its natural environment : 15 mHardiness : -5°CFlower colour : white and pinkDifficulty level : Beginner  Height: about 5 to 20 cm (depending on seasons)  Slow grower
Pink peacock flower tree,,,Pink Caesalpinia pulcherrima : Pink Peacock flower treeFamily : CaesalpinioideaeOrigine : South and Central AmericaHeight in its natural environment: 5 mHardiness : -3°C (losts its foliage under 10°C)Flower colour : pinkDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Orange Peacock flower tree,,,Caesalpinia pulcherrima orange : Orange Peacock flower treeFamily : CaesalpinioideaeOrigine : South and Central AmericaHeight in its natural environment: 5 mHardiness : -3°C (losts its foliage under 10°C)Flower colour : orangeDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Fishtail palm,,,"Caryota mitis : Fishtail palmFamily: ArecaeaeOrigin : South-East Asia, MyanmarHeight in its natural environment : 18 mHardiness : 10°CColour of the flower : JauneDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Hop-headed barleria,,,Barleria lupulina : Hop-headed BarleriaFamily: AcantaceaeOrigin : India and MadagascarHeight in its natural environment : 2 mHardiness : 2°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Native frangipani,,,Hymenosporum flavum  : Native frangipaniFamily: PittosporaceaeOrigin : AustraliaHeight in its natural environment : 20 mHardiness : -2°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Lisptick tree,,,Bixa orellana : Lisptick treeFamily: BixaceaeOrigin : South AmericaHeight in its natural environment : 7 mHardiness : -1°CColour of the flower : PinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
