Name,Image URL 1,Description,Family,Type,Native,Hardiness,Exposure,Plant_dimension,Variety_info,Attributes
White Lisbon Bunching/Scallion Onion Seeds,//www.botanicalinterests.com/cdn/shop/files/0031w_Onion-Bunching-White-Lisbon.jpg?v=1715191022&width=1445,"White Lisbon' is a green or spring onion, and sometimes referred to as a scallion or bunching onion. A popular variety since the 1700s because it produces dependably in widely varying conditions. It thrives in a wide range of soils, is heat and cold tolerant, and can be sown successively throughout the season. For the finest quality, pencil-thin onions, sow seed densely and do not thin seedlings.",Days to Maturity: 60 days,Family: Alliaceae,Type: Bunching/Scallion Onion (Learn more),Native: Exists only in cultivation,Hardiness: Biennial grown as an annual,Exposure: Full sun,"Plant Dimensions: 12"" to 18"" tops","Variety Info: Mild, juicy, sweet, thin whites, with tender, edible, green tops (foliage), harvested early before it has the chance to form a bulb. 'White Lisbon' is a spring onion, generally used as a scallion-type onion. It has been in gardens since the 1700s."
Oregon Sugar Pod II Snow Pea Seeds,//www.botanicalinterests.com/cdn/shop/files/0035i_Pea-Snow-Oregon-Sugar-Pod-II.jpg?v=1715193229&width=1445,"Homegrown peas taste so much better than store bought! 'Oregon Sugar Pod II' produces a huge number of 4"" delicious pods that are harvested and eaten when the pods are flat, before the seeds form. Short, 28"" vines are easy to manage. Resists mildew, pea enation virus, and leaf roll. Excellent freezer and late-summer variety. Grow on a trellis.",Days to Maturity: 60 days,Family: Fabaceae,Type: Snow Pea (Learn more),"Native: Western Asia, Europe, and North Africa",Hardiness: Frost-tolerant annual,Exposure: Full sun,"Plant Dimensions: 28"" tall","Variety Info: 4"" long, stringless, crunchy pods; 2 per cluster. 'Oregon Sugar Pod II' is ery disease resistant, including mildew, pea enation virus, and leaf roll."
Cherry Falls Bush Cherry Tomato Seeds,//www.botanicalinterests.com/cdn/shop/files/3110i_Tomato-Bush-Cherry-Cherry-Falls-ORG.jpg?v=1715193091&width=1445,"Cherry Falls' is where beauty and function meet. Compact plants are perfect for containers and large hanging baskets where the vines displaying the abundant clusters of 1½"", bright red tomatoes are quite ornamental. Vigorous vines produce an abundant crop throughout the growing season. Quick to mature, you will be enjoying this delicious cherry tomato in no time!",Days to Maturity: 55 – 65 Days from transplanting,Family: Solanaceae,"Type: Determinate, Cherry Tomato (Learn more)",Native: Andes,Hardiness: Frost-sensitive annual,Exposure: Full sun,"Plant Dimensions: Vines up to 18"" long, depending on growing conditions","Variety Info: 1""–1½"" round, bright red fruit. 'Cherry Falls' is a determinate type tomato."
Burgundy Amaranth Seeds,//www.botanicalinterests.com/cdn/shop/files/2012i_Amaranth-Burgundy-ORG.jpg?v=1708515786&width=1445,"These majestic plants make a lovely backdrop in the flower garden and a bold statement in flower arrangements. A major crop of the Aztecs, beige seeds follow the dramatic, burgundy plumes in about 105 days; very high in protein and other nutrients. Cook like rice for a side dish or pop like popcorn! Leave the seeds on and watch the birds flock to your yard. Very young leaves are delectable for salads and steaming.",Family: Amaranthaceae,Native: Probable origin North America,Hardiness: Frost-sensitive annual,Exposure: Full sun,Bloom Period: Summer to frost,"Plant Dimensions: 5'–8' tall, 18""–24"" wide","Attributes: Cut Flower, Drought Tolerant, Attracts Pollinators, Frost Sensitive",
Progress #9 Shelling Pea Seeds,//www.botanicalinterests.com/cdn/shop/files/3010i_Pea-Shelling-Prog-9-ORG_29de934b-7b9b-433e-9404-ea45772eb4a6.jpg?v=1708512829&width=1445,"Remember when you were a kid how fun it was to pop open a pod and eat the peas? Relive the memories and enjoy the wonderful taste of 'Progress #9'. Each 5"" pod has 7-9 plump peas. A heavy producer, also called 'Laxton's Progress #9'. (Thomas Laxton was a renowned 19th century strawberry breeder.) Plants are resistant to common wilt disease.",,,,,,,,"Variety Info: 5"" long pods that contain 7–9 plump peas. 'Progress #9' is a shelling pea with resistance to common wilt disease."
Cat Grass Seeds,//www.botanicalinterests.com/cdn/shop/files/1169i_Cat-Grass.jpg?v=1715191193&width=1445," Do you want to keep your cats from eating potentially harmful houseplants, or coarse, outdoor grass that sticks to the back of their tongues and might contain pesticides? Because it's grown indoors, fibrous cat grass can be served fresh, year-round to assist your cat with digestion, and may help prevent furballs. Grass is ready for cats to eat when it is 2""-4"" high; place near their water or food bowl for only a few minutes so that they don't binge. Feed for a few minutes at a time on a regular basis to get your kitty's tummy used to it, allowing absorption of all the nutrients. Great for dogs, too!",Days to Maturity: 58 days,Family: Fabaceae,Type: Shelling Pea (Learn more),"Native: Western Asia, Europe, and North Africa",Hardiness: Frost-tolerant annual,Exposure: Full sun,"Plant Dimensions: 18"" tall",
Fiesta Blend Nasturtium Seeds,//www.botanicalinterests.com/cdn/shop/files/2026i_Nasturtium-Fiesta-Blend.jpg?v=1715191990&width=1445,"Every salad should have edible nasturtium flowers. Fiesta Blend is a spicy feast of color with flowers in orange, yellow, and orange/peach bi-colors that brighten up hanging baskets and large containers. This beautiful plant is especially exquisite gracing a stone garden wall. The blossom petals are a festive addition to salads and pastas. Plant some in your vegetable patch to attract pollinators. Withstands coastal salty air.",Days to Maturity: 10–15 days,Family: Poaceae,Native: Unknown; in cultivation a long time,Hardiness: Annual,Exposure: Full sun to part shade,"Plant Dimensions: Grass is ready for cats to eat when it is 2"" to 4"" tall.",Attributes: Good for Containers,"Attributes: Attracts Pollinators, Deer Resistant, Drought Tolerant, Edible Flower, Rabbit Resistant, Frost Sensitive"
Candy Stevia Seeds,//www.botanicalinterests.com/cdn/shop/files/6128i_Stevia-ORG.jpg?v=1715195883&width=1445,"Now you can grow your own calorie-free, carbohydrate-free, low-glycemic sweetener at home! Stevia, also called sweetleaf, is up to 300 times sweeter than sugar, so a little goes a long way. Some say the leaves have a slight, pleasant, anise aftertaste. The bushy, 18""-30"" tall plants can be grown in 10""-12"" diameter containers. Leaves are sweetest just before the plant flowers in late summer to fall. Grown as an annual, although perennial in USDA zones 10 and warmer.",,,,,,,,Attributes: Good for Containers
Sweetie Pole Cherry Tomato Seeds,//www.botanicalinterests.com/cdn/shop/files/3067i_Tomato-Cherry-Sweetie.jpg?v=1715192737&width=1445,"Classic cherry tomato that lives up to its sweet name is well known for its hearty flavor and early harvest. 'Sweetie' produces large numbers of ¾""–1"" cherry tomatoes in grape-like clusters. Provide support for vigorous vines that easily reach 6' long. Low-acidity tomato.",Family: Tropaeolaceae,Native: South America,"Hardiness: Frost-sensitive, tender perennial usually grown as an annual; perennial in USDA zones 10 and warmer.",Exposure: Full sun to part shade,Bloom Period: Late spring to frost,"Plant Dimensions: 10""–12"" tall","Variety Info: 2""–2½"" blossoms in shades of orange, yellow and orange/peach bicolors.","Variety Info: ¾""–1"" round, red tomatoes in large grape-like clusters."
Dazzling Blue Kale Seeds,//www.botanicalinterests.com/cdn/shop/files/3079i_Kale-Dazzling-Blue-ORG.jpg?v=1715195805&width=1445,"Be dazzled by the striking colors of this extra-cold-hardy kale—more cold tolerant than other lacinato types. The striking purple midrib pops against the blue-green leaves, some of which may take on more purple hues in the cool temperatures of fall. Lacinato kale is ideal for kale salads and other fresh culinary endeavors. Pick tender, baby greens for fresh salads, chips, or cooking, in just 30 days.",Family: Asteraceae,Native: Paraguay and Brazil,"Hardiness: Grown as an annual, although perennial in USDA zones 10 and warmer.",Exposure: Full sun to part shade,Bloom Period: Late summer to fall,"Plant Dimensions: 18""–30"" tall, 18"" wide","Variety Info: An upright leafy plant with brittle stems and elliptical, toothed leaves. Plants produce small, white, tubular flowers in late summer to fall.","Attributes: Frost Tolerant, Cold Tolerant, Good for Containers"
Hale's Best Jumbo Cantaloupe/Muskmelon Melon Seeds,//www.botanicalinterests.com/cdn/shop/files/3054i_Melon-Musk-Hales-Best-ORG.jpg?v=1715193950&width=1445,"Talk to seasoned gardeners, and they still swear by 'Hale's Best Jumbo'. Its 3–5-pound fruits are exceptionally sweet and thick-walled. The seed cavity is small, so you can enjoy more delicious, mouth-watering fruit! Grows and stays sweet in most climates. More drought tolerant than other melons.",Days to Maturity: 65 days from transplanting,Family: Solanaceae,"Type: Indeterminate, Low Acid, Cherry Tomato (Learn more)",Native: Andes,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: Vines up to 6' or longer,"Variety Info: 6"" diameter, 3–5 pound average, heavily-netted fruit with very sweet, thick, salmon-pink flesh. Small seed cavity means more fruit! Plants are more drought tolerant than other varieties; however, since melons have a high percentage of water, prolonged drought can reduce yields."
Clemson Spineless 80 Okra Seeds,//www.botanicalinterests.com/cdn/shop/files/0083i_Okra-Clemson-Spineless-80.jpg?v=1715193583&width=1445,"Originally developed at Clemson University and improved in 1980 for an earlier, more productive harvest. These heat-loving plants produce dark green, grooved, straight pods with a full-bodied flavor that okra lovers find utterly delectable. Related to hollyhocks, the plants' beautiful flowers make them a pretty addition to the flower garden and they attract pollinators.",Days to Maturity: 30 – 60 Days,Family: Brassicaceae,Native: Europe,"Hardiness: Biennial grown as an annual, kale is very cold hardy and may overwinter in milder climates.",Exposure: Full sun,"Plant Dimensions: 24""–48"" tall, and about 12""–24"" wide","Variety Info: Dazzling Blue', a lacinato type kale, is more cold hardy than traditional lacinato kale. The leaves on each plant can be varying shades from green to purple, each with a lavender to purple midrib.","Attributes: Attracts Pollinators, Heat Tolerant, Frost Sensitive"
Lakota Winter Squash Seeds,//www.botanicalinterests.com/cdn/shop/files/3149i_Squash-Winter-Lakota-ORG.jpg?v=1708515049&width=1445,"This gorgeous squash is much more than a decoration. A superior baking variety, it has fine-grained flesh with an enticing, sweet, nutty flavor. Once a staple variety of the Lakota Sioux, it has not been widely available until recently. This adaptable winter squash stores well and, like all squash, is easy to grow from seed. 10- to 20-foot vines.",Days to Maturity: 85 days,Family: Cucurbitaceae,Type: Cantaloupe (Learn more),"Native: Africa, Asia, Australia, West Pacific Islands",Hardiness: Frost-sensitive annual,Exposure: Full sun,"Plant Dimensions: Sprawling vine; average 6', but can be more.","Variety Info: 8""–10"" long, 6""–8"" in diameter and 4–8 lbs. Outer shell color most often is crimson flecked with deep green radiating from the blossom end, but can vary with growing conditions, and be mostly orange, or mostly green; flesh is deep orange. It is widely adaptable and tolerant to many conditions."
Mammoth Blend Sweet Pea Seeds,//www.botanicalinterests.com/cdn/shop/files/2056i_Sweet-Pea-Mammoth-Blend-ORG.jpg?v=1715193609&width=1445,"Aptly named, Mammoth sweet peas have extra-large flowers with lengthy stems—perfect for cutting! The subtle, sweet scent is delightful, too. Developed in the 1980s from Early Multiflora Gigantea, a Spencer-type sweet pea, this variety boasts drought and heat resistance, which results in a longer season of blooms. Attracts pollinators. Deer resistant. Caution: Most parts of this plant are toxic if ingested.",Days to Maturity: 55 days,Family: Malvaceae,Native: Unknown; probably tropical Africa and Asia,"Hardiness: Frost-sensitive annual. In frost-free areas, okra may be grown as a perennial.",Exposure: Full sun,"Plant Dimensions: 4'–5' tall, 24"" wide. Can grow taller in areas with long growing seasons.","Variety Info: Okra pods can grow up to 9"" long, but are best harvested at about 3""–4"" for culinary use, before they become tough. The pods of 'Clemson Spineless 80' are dark green, straight, and slightly grooved.","Variety Info: 1''–2"" flowers with moderate scent in shades of rose, blue, salmon, scarlet, white, lavender, and burgundy."
Goldy Honey Bear Sunflower Seeds,//www.botanicalinterests.com/cdn/shop/files/2016i_Sunflower-Goldy-Honey-Bear-ORG.jpg?v=1715194298&width=1445," Goldy Honey Bear has thick, multi-branching stalks that stay upright without staking. Green centers are revealed as the 5""–7"" flowers open. As they mature, the blooms become fully double, solid gold, and surrounded by sun-like ray petals. In ideal conditions, these nearly pollenless flowers may grow so large that just one will fill an entire vase! Long-blooming display for a flower border, hedge, or screen. You may even recognize these unique sunflowers from Vincent van Gogh's famous Sunflowers paintings! Sunflowers are edible, with a bittersweet flavor. The petals add a pretty pop of color on salads and desserts. The young, sunflower buds are edible, with a flavor similar to artichoke hearts. They can be grilled, marinated, or sauteed for an unusual appetizer or side dish.",Days to Maturity: 85–100 days,Family: Cucurbitaceae,"Type: Lakota Squash, Winter Squash (Learn more)",Native: Argentina and Uruguay,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: 10'–20' vines,"Variety Info: 5""–7"" fully double, golden-yellow blooms. Centers are green until maturity when they turn brown."
Cream Sausage Bush Tomato Seeds,//www.botanicalinterests.com/cdn/shop/files/0859i_Tomato-Bush-Cream-Sausage.jpg?v=1715194420&width=1445,"True to name, these cylindrical, cream to pale yellow tomatoes are best harvested at 3""—when they start to look like little sausages! With a smooth, buttery, rich flavor, 'Cream Sausage' is ready to eat like an apple right off the vine, or save it for the kitchen to simmer into a yellow pasta sauce, create contrast in salsas, or slice up for a fresh salad. This highly productive cultivar is compact and perfect for containers. A Botanical Interests staff favorite!",Family: Fabaceae,Type: Sweet Pea (Learn more),Native: Italy,Hardiness: Frost-tolerant annual,Exposure: Full Sun to Part Shade,Bloom Period: Spring to Summer,Plant Dimensions: 5'–6',"Variety Info: Creamy white to light yellow, oblong, 3'' long fruits. 'Cream Sausage' is a determinate type tomato."
Snowball Y Cauliflower Seeds,//www.botanicalinterests.com/cdn/shop/files/3183i_Cauliflower-Snowball-Y-ORG.jpg?v=1708515863&width=1445,"Flavorful, 6"" snow-white heads in just 70 to 80 days means 'Snowball Y' is successful in short-season areas. The leaves naturally curl nicely around the heads providing self-blanching and protection from sun scald. Mature heads hold well in the garden, so they don't all have to be picked at once.",Family: Asteraceae,Type: Pollenless Sunflower (Learn more),Native: North America,Hardiness: Annual,Exposure: Full sun,Bloom Period: Summer to frost,"Plant Dimensions: 5'–6' tall, 24"" wide, multi–branching",Attributes: Frost Tolerant
Black Beauty Eggplant Seeds,//www.botanicalinterests.com/cdn/shop/files/3045i_Eggplant-Black-Beauty.jpg?v=1708516000&width=1445,"A beautiful vegetable with lovely, lavender blossoms pretty enough to grow in the flower garden. 'Black Beauty' has set the standard since 1902 for large, high-quality fruit. Outstanding when harvested at their peak, the skin is tender, so no need to peel it. A widely used international food; there are countless recipes from Italy to China to Russia and beyond.",Days to Maturity: 80 days from transplanting,"Family: Solanaceae, Nightshade family, includes tomatoes, potatoes, petunias, nicotiana, Chinese lantern, and eggplant.","Type: Determinate, Slicing or Paste Tomato (Learn more)",Native: Andes,Hardiness: Frost-sensitive annual,Exposure: Full sun,"Plant Dimensions: 36"" tall",Attributes: Frost Sensitive
Table King Acorn Winter Squash Seeds,//www.botanicalinterests.com/cdn/shop/files/3133i_Squash-Winter-Acorn-Table-King-ORG.jpg?v=1715192531&width=1445,"Nothing beats the rich, sweet flavor of baked winter squash on a chilly, autumn day. 'Table King' is great for short seasons or late spring planting; it is early maturing for a winter squash. Compact, 4' vines are great for small gardens or even large containers, and they are so easy to grow from seed! A 1974 All-America Selections winner.",Days to Maturity: 70–80 Days,Family: Brassicaceae,Native: Europe,Hardiness: Frost-tolerant biennial grown as an annual,Exposure: Full sun,"Plant Dimensions: 24""–30"" tall and 12"" wide","Variety Info: White, tightly packed, 6""–6 ½"" heads. 'Snowball Y' is self-blanching.","Variety Info: 2 pound, glossy, dark green/gray fruits with distinctive longitudinal ridges and sweet, yellow-orange flesh."
Hearts of Gold Cantaloupe/Muskmelon Melon Seeds,//www.botanicalinterests.com/cdn/shop/files/3012i_Melon-Hearts-of-Gold-ORG.jpg?v=1715193964&width=1445,"Hearts of Gold' is a high-quality heirloom that can be grown in short season climates. These very productive plants produce fruit that is dark orange, firm-fleshed, and aromatic. Round, 3-pound fruits up to 6"" in diameter.",Days to Maturity: 80 days from transplanting,Family: Solanaceae,Native: Asia,Hardiness: Perennial in tropical climates; grown as annual in climates other than those that are frost-free and very warm; very frost sensitive.,Exposure: Full sun,"Plant Dimensions: 24""–30"" tall and wide","Variety Info: 5""–6 ½"" oblong, 1–3 lb. fruit with smooth, glossy purplish-black skin, off-white to tan interior. In the late 1800s, the 'Black Pekin' Chinese eggplant was crossed with 'Large Early Purple', creating 'Imperial Black Beauty', also known as 'Black Beauty', the largest eggplant grown today.","Variety Info: Firm, juicy, and aromatic; up to 6"" diameter, 3 pounds, with deep orange flesh. Skin is ribbed and heavily netted. Cross between 'Osage' and 'Nettedgem' from 1890."
Astro Arugula/Rocket Seeds,//www.botanicalinterests.com/cdn/shop/files/3101i_Arugula-Rocket-Astro-ORG.jpg?v=1715195486&width=1445,"Because 'Astro' has wider leaves and is slower-to-bolt than other arugulas, you will be enjoying more leaf per harvest and a longer harvest period. With its milder flavor, it makes a delectable baby green, harvestable in just about a month! The peppery flavor many of us love ramps up over time and as spring temperature heats up. Afternoon shade helps prolong the harvest. Also a good container variety.",Days to Maturity: 80 Days,Family: Cucurbitaceae,"Type: Acorn Squash, Winter Squash (Learn more)",Native: United States and Northern Mexico,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: 4' vine,"Attributes: Frost Tolerant, Cold Tolerant, Good for Containers"
Common Milkweed/Butterfly Flower Seeds,//www.botanicalinterests.com/cdn/shop/files/1319i_Milkweed-Butterfly-Flower-Common.jpg?v=1715193347&width=1445,,Days to Maturity: 80 days,Family: Cucurbitaceae,Type: Cantaloupe (Learn more),"Native: Africa, Asia, Australia, West Pacific Islands",Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: Sprawling vines average 6'.,"Attributes: Attracts Butterflies, Attracts Pollinators, Drought Tolerant, Deer Resistant"
Green Zebra Pole Tomato Seeds,//www.botanicalinterests.com/cdn/shop/files/3143i_Tomato-Pole-Green-Zebra-ORG.jpg?v=1715194229&width=1445,"A breeder's work of art! 'Green Zebra' has excellent flavor and unique color—golden green with forest green stripes, developing a slight amber blush when ripe. The 2""–3"" tomatoes have very smooth skin essentially free of cracks. Provide support for vines that reach 6' or more. More heat and drought tolerant than other varieties.",Days to Maturity: 32 – 55 Days,Family: Brassicaceae,"Native: Africa, Asia, Europe; exact native range obscure",Hardiness: Frost-tolerant annual,Exposure: Full sun,"Plant Dimensions: Arugula leaves are often harvested young but they can reach 10"". When arugula flowers, plants can be a foot tall or more.","Variety Info: Astro' is a slower-to-bolt cultivar with wider, less-lobed leaves. When the weather is cool and plants are young, its flavor is milder than many common arugulas.","Variety Info: 2""–3"" round, 3–5 oz. fruits, green with forest green stripes and a slight amber blush when fully mature."
Mother of Pearl Poppy Seeds,//www.botanicalinterests.com/cdn/shop/files/2067I_Poppy-Corn-Mother-of-Pearl-ORG.jpg?v=1715192778&width=1445,"As precious as a pearl! 'Mother of Pearl' poppies practically glow in stunning shades of pink, white, and purple, with showy crepe paper-like petals and contrasting dark centers. This blend is stunning when planted in mass along borders or in garden beds. Incredibly low-maintenance and drought tolerant, this vigorous, easy-to-grow poppy will bring long-lasting color to the garden and attract pollinators all summer long! Harvest seed pods to add to dried floral bouquets. Deer resistant.","Family: Papaveraceae, Poppy family, includes California poppy, oriental poppy, and Iceland poppy.",Type: Corn Poppy (Learn More),"Native: Europe, Africa, and Asia",Hardiness: Annual,Exposure: Full sun,Bloom Period: Spring to summer,"Plant Dimensions: 36"" tall and 10"" wide","Variety Info: 2""– 3"" blooms in shades of pink, purple, and white."
Evening Sun Sunflower Seeds,//www.botanicalinterests.com/cdn/shop/files/2007i_Sunflower-Evening-Sun-ORG.jpg?v=1715193842&width=1445," Gorgeous 4""–6"" sunset-hued flowers with dark centers bloom in abundance over a long bloom period to keep your garden alight with color and pollinators, and your flower vases full for many weeks. Several rich tones all on one plant! Sunflowers are edible, with a bittersweet flavor. The petals add a pretty pop of color ion salads and desserts. The young, sunflower buds are edible, with a flavor similar to artichoke hearts. They can be grilled, marinated, or sauteed for an unusual appetizer or side dish. Multi-branching habit makes for an excellent annual screen. Sunflowers are one of the easiest flowering plants to grow and drought tolerant.",Family: Asteraceae,Type: Sunflower (Learn more),Native: North America,Hardiness: Annual,Exposure: Full sun,Bloom Period: Summer to frost,Plant Dimensions: 6'–8' tall,"Variety Info: 4""–6"" wide flowers in red, orange, and burgundy with dark centers"
Blue Lake FM-1K Pole Bean Seeds,//www.botanicalinterests.com/cdn/shop/files/3020i_Bean-Pole-Blue-Lake-FM-1K-ORG.jpg?v=1715190982&width=1445,"Some say pole beans have better flavor than bush beans. 'Blue Lake FM-1K' certainly would support that statement. Besides outstanding flavor, plants are high-yielding. Vigorous, 5'–8' vines produce a bounty of 5""–7"", white-seeded beans that are excellent fresh, and also canned or frozen. Disease resistant.",Days to Maturity: 66 days,Family: Fabaceae,"Type: Snap Bean, Pole Bean (Learn More)",Native: Mexico and South America,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: 5'–8' long vines,"Variety Info: 5""–7"" long, ½"" wide silvery-green pods; stringless when young, white seeds. 'Blue Lake FM-1K' is common bean mosaic virus resistant."
True Hyssop Seeds,//www.botanicalinterests.com/cdn/shop/files/2029i_Hyssop-True-Hyssop.jpg?v=1708515931&width=1445,"Wonderful for late summer bloom, true hyssop is an easy-care, first-year flowering perennial (USDA zones 3–11) that brings bees, beneficial insects, and butterflies to the garden. This ancient herb has been used by many cultures for its medicinal and culinary value as well as its beauty. Sow for a short hedge along paths or mix with other perennials. Ideal in rock and herb gardens and is a nice cut flower.",Family: Lamiaceae,"Native: Africa, Asia, Europe",Hardiness: Perennial in USDA zones 3–11,Exposure: Full sun to part shade,Bloom Period: Summer,"Plant Dimensions: 12""–24"" tall","Variety Info: 2""–6"" long spikes with many tubular, purple-blue flowers","Attributes: Attracts Beneficial Insects, Attracts Butterflies, Attracts Pollinators, Cut Flower, Deer Resistant, Drought Tolerant"
Red Kuri Winter Squash Seeds,//www.botanicalinterests.com/cdn/shop/files/3163i_Squash-Winter-Red-Kuri-ORG.jpg?v=1708512764&width=1445,"Once you try these teardrop-shaped 3-4 pound fruits, they'll become an essential part of your fall and winter cooking. Kuri is Japanese for chestnut, a tribute to its nutty flavor. Also known as 'Orange Hokkaido', its smooth consistency and deep color make it a favorite for any traditional squash or pumpkin dish, although it's terrific simply sliced, steamed, or baked. Compact 4'-6' vines produce well even in cool or short-season climates.",Days to Maturity: 95 days,Family: Cucurbitaceae,Type: Winter Squash (Learn more),Native: Argentina and Uruguay,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: 4'–6' long vines,"Variety Info: 3–4 pound, teardrop-shaped, reddish-orange fruits; 2-3 fruits per plant.  Other names include 'Baby Red Hubbard', 'Orange Hokkaido', and 'Uchiki Kuri'."
Lemon Queen Sunflower Seeds,//www.botanicalinterests.com/cdn/shop/files/2027i_Sunflower-Lemon-Queen-ORG.jpg?v=1715192163&width=1445," Majestic, multi-branched plants provide gorgeous cut flowers throughout summer. Easy to grow in almost any well-drained soil, and drought tolerant. In areas with a long growing season, sow a new crop every 2–4 weeks up until 3 months before first fall frost for continuous bloom. Due to its intense bee attraction, 'Lemon Queen' is the sunflower used in the Great Sunflower Project, a study to gather information about native bee populations. Sunflowers are edible, with a bittersweet flavor. The petals add a pretty pop of color ion salads and desserts. The young, sunflower buds are edible, with a flavor similar to artichoke hearts. They can be grilled, marinated, or sauteed for an unusual appetizer or side dish.",Family: Asteraceae,Type: Sunflower (Learn more),Native: North America,Hardiness: Annual,Exposure: Full sun,Bloom Period: Summer to frost,Plant Dimensions: 5'–7' tall,"Variety Info: Blooms have lemon-yellow petals with a brown center. Plants produce one large main flower, 5""–7"" wide, followed by smaller secondary flowers."
Moneymaker Pole Tomato Seeds,//www.botanicalinterests.com/cdn/shop/files/3156i_Tomato-Pole-Moneymaker-ORG.jpg?v=1715192558&width=1445,"A very popular variety for commercial growers in the 1950s and 1960s, 'Moneymaker' earned its name because of its uniformity and reliably heavy yields. The medium-sized fruits are sweet with a meaty texture, making them versatile for use in fresh or cooked dishes. A good choice for greenhouses as well as outdoors. A favorite of southern gardeners and those in climates with hot, humid summers.",Days to Maturity: 75 – 80 days from transplanting,Family: Solanaceae,"Type: Indeterminate, Slicing Tomato (Learn more)",Native: Andes,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: Vines up to 6' or longer,"Variety Info: 3½–4 ounce, 2 1/2"" globe-shaped fruits. 'Moneymaker' is an indeterminate type tomato."
Habanero Chile Pepper Seeds,//www.botanicalinterests.com/cdn/shop/files/3068i_Pepper-Chile-Habanero.jpg?v=1715194175&width=1445,"Prized by chile aficionados not only for its intense heat, but its distinct fruitiness, the habanero is used in sensational salsas (see recipe inside), and will turn a bland barbeque into a fiery feast! Habaneros are said to be 100 times hotter than jalapeños (but after the first 100,000 Scoville heat units, who's counting?) 100,000-350,000 Scoville heat units (extremely hot).",Days to Maturity: 100 days from transplanting,Family: Solanaceae,"Type: Over 100000 Scoville Units, Chile Pepper (Learn more)",Native: Brazil,Hardiness: Frost-sensitive perennial grown as an annual,Exposure: Full sun,"Plant Dimensions: 24"" tall, 18"" wide","Variety Info: 2 ½"" long, 1"" wide, green turning to orange-red when mature. Habaneros are one of the hottest peppers in the world at 100,000–350,000 Scoville heat units."
Chioggia Beet Seeds,//www.botanicalinterests.com/cdn/shop/files/3150i_Beet-Chioggia-ORG.jpg?v=1708515118&width=1445,"This Italian heirloom from the mid-1800s got its name from a fishing village near Venice, Italy. 'Chiogga' has delicious green tops and tasty roots. Each seed produces multiple plants and the thinnings are a delightful addition to your salad. Packed with nutrition, beets are high in fiber, potassium, folic acid, and the antioxidant, betacyanin. Delicious roasted, steamed, and pickled.",Days to Maturity: 55 days,Family: Amaranthaceae,Type: Beet (Learn more),"Native: Europe, Asia, and the Mediterranean region",Hardiness: Frost-tolerant biennial grown as an annual,Exposure: Full sun,"Plant Dimensions: Leaf tops to 18"" tall","Variety Info: 1""–3"" pinkish/red roots with interior rings of bright pinkish/red and white; green leaftops."
Chef's Medley Mesclun Lettuce Seeds,//www.botanicalinterests.com/cdn/shop/files/3024i_Lettuce-Mesclun-Chefs-Medley-ORG.jpg?v=1708514262&width=1445,"Prominent, local chef, John Platt, creates some of the best dishes in Boulder, Colorado. That's why we trusted him to choose this special medley—25% each of 'Lolla Rossa' and 'Oak Leaf' lettuces; 10% each of 'Black Seeded Simpson' and 'Summer Bibb' lettuces, arugula, mizuna, and tatsoi. A good container mix.",Days to Maturity: 20–45 days,Family: Asteraceae,Type: Mesclun Lettuce (Learn more),Native: UnUnknown; lettuce has been in cultivation for a long time.,Hardiness: Frost-tolerant annuals,Exposure: Full sun to part shade,"Plant Dimensions: Leaves are harvested at 4""–6"" tall for mesclun.","Variety Info: LEAF LETTUCES: 'LOLLA ROSA': Deeply curled leaves with very frilly, red edges. 'OAK LEAF': Medium green, deeply lobed, oak leaf-shaped leaves with mild flavor, and slower to bolt. 'BLACK SEEDED SIMPSON': Crinkled, light green, crisp leaves with frilly edges. SUMMER BIBB LETTUCE: Soft, slightly crumpled light-green leaves in a loose head, often with a creamy yellow core. GREENS: ARUGULA (rocket salad): Medium green, deeply lobed leaves are rich and peppery with a hint of nut. MUSTARD, 'MIZUNA': Thin stems, serrated light green leaves with slightly peppery, mildly spicy flavor. BOK CHOY, 'TATSOI': Thick, dark green leaves with a milder flavor than western head cabbage."
